periode,kategori,total,qty
2024-02,TEKO,4894106,95
2024-02,TELENAN,1931122,76
2024-02,TEMPAT BUMBU,1678015,56
2024-02,TEMPAT MINYAK,1088396,20
2024-02,TEMPAT ROTI,39000,1
2024-02,TEMPAT SABUN,406413,22
2024-02,TEMPAT SAMBAL,499237,58
2024-02,TEMPAT SENDOK,1795149,89
2024-02,TEMPAT TELUR,75175,4
2024-02,TEMPAT TISSUE,689508,22
2024-02,TEMPAT TUSUK GIGI,83377,8
2024-02,TERMOS,18592011,178
2024-02,THINWAL,1081655,37
2024-02,TIMBAH,2926126,296
2024-02,TIMBANGAN,1972722,26
2024-02,TISSUE,745896,101
2024-02,TONG,5663414,133
2024-02,TOPLES,19927925.4,920
2024-02,TUDUNG SAJI,1874394,68
2024-02,TUSUK GIGI,304902,75
2024-02,TUSUK SATE,70875,5
2024-02,TUTUP GELAS,377385,137
2024-02,TUTUP WAJAN,176375,6
2024-02,UMUM,32879298,1058
2024-02,WAJAN,1729170,12
2024-01,ACC / PITA / KARET,2530905,381
2024-01,AMPIA,546750,2
2024-01,ANTENA,165230,1
2024-01,ASBAK,1531283,135
2024-01,AYAKAN,143253,11
2024-01,BABY BATHUB,993822,23
2024-01,BAKUL,1445589,108
2024-01,BANGKU / KURSI,19622649.5,271
2024-01,BASKOM,11221832.75,943
2024-01,BATRE,2874688,257
2024-01,BINGKAI,279771,6
2024-01,BLENDER,16075167,75
2024-01,BOTOL,16316660.25,911
2024-01,BUNGA PLASTIK,224991,9
2024-01,BURNER,1354530,33
2024-01,CAKE PAN,1855650,16
2024-01,CANGKIR,4060207,430
2024-01,CELEMEK,296185,10
2024-01,CELENGAN,948959,70
2024-01,CENTONG NASI,441413,29
2024-01,CERET,4153793,49
2024-01,CERMIN,1887535,75
2024-01,CETAKAN,4298855,285
2024-01,CHOPER,2892784,26
2024-01,CLING WRAP,206400,8
2024-01,COBEK,1790765,32
2024-01,CONTAINER,20204288,161
2024-01,CORONG,386858,71
2024-01,CUP,85050,7
2024-01,DISPENCER,11105412,56
2024-01,EMBER,1662847,64
2024-01,ESKAN,1287148,43
2024-01,GALON,654400,12
2024-01,GANTUNGAN HOOK,680763,83
2024-01,GARPU,2364701,137
2024-01,GAS,759800,37
2024-01,GAYUNG,2481121,279
2024-01,GELAS,14799161,1617
2024-01,GEMBOK,1203832,61
2024-01,GILINGAN,143985,2
2024-01,GUNTING,1851370,195
2024-01,HAIR DRYER,475526,3
2024-01,HANGER,4467519,203
2024-01,JAM DINDING,4073087,70
2024-01,JEPITAN,1904651,132
2024-01,JUICER,60198,1
2024-01,KAIN LAP,2151138,238
2024-01,KALO,2861846,621
2024-01,KAPSTOCK / GANTUNGAN BAJU,2886252,157
2024-01,KEMOCENG,923510,48
2024-01,KERANJANG,10116943,598
2024-01,KERTAS NASI,28750,1
2024-01,KESET,8383436,313
2024-01,KIPAS,21061419,108
